JHG1,JHG2,JHG3,JHG4,JHG,CENTRE,JHGBIS,AUTO,AUTOBIS,AUTOTRIS,VOTESA,VOTEIND,VOTECH,VOTEQ,VICTOIRE,VOTEHYP1,VOTEHYP2,SEXE,AGE,SCOL,LANGUE,TRAV,PROF,REV,CODE,RELIGION,QUEBEC,IDENT,IDENTP,ESTIME,IDEOLOGI,MONDE,FRANCAIS,COMP,SPIRALE,UTILE,CHOMAGE,PROXPLQ,PROXPQ,PROXADQ,PROXRAP,POLITIS,PRESENT,PESSIMI,POLITIQU,ORIENT,PRESENCE,PARTICIP,PATRIMOI,POIDS,Q1,Q2A,Q2B,Q2C,Q2D,Q3,Q4A,Q4B,Q4C,Q4D,Q5A,Q5B,Q5C,Q6A,Q6B,Q6C,Q7A,Q7B,Q7C,Q8A,Q8B,Q8C,Q9A,Q9B,Q9C,Q10A,Q10B,Q10C,Q11,Q11R,Q12,Q13A,Q13B,Q13C,Q13D,Q13E,Q13F,Q13G,Q13H,Q14A,Q14B,Q14C,Q14D,Q14E,Q15,Q16,Q17,Q18,Q19A1,Q19A2,Q19A3,Q19A4,Q19A5,Q19A6,Q19A7,Q19A8,Q19B1,Q19B2,Q19B3,Q19B4,Q19B5,Q19B6,Q19B7,Q19B8,Q19C1,Q19C2,Q19C3,Q19C4,Q19C5,Q19C6,Q19C7,Q19C8,Q20A,Q20B,Q20C,Q20D,Q20E,Q21A,Q21B,Q21C,Q21D,Q22A,Q22B,Q22C,Q22D,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31A,Q31B,Q31C,Q31D,Q31E,Q31F,Q31G,Q31H,Q32A,Q32B,Q32C,Q32D,Q33A1,Q33A2,Q33A3,Q33B1,Q33B2,Q33B3,Q33C1,Q33C2,Q33C3,Q34A,Q34B,Q34C,Q34D,Q34E,Q34F,Q34G,Q34H,Q34I,Q35A,Q35B,Q36,Q37,Q38A,Q38B,Q38C,Q38D,Q39,Q40,Q41,Q42,Q43,Q44A,Q44B,Q44C,Q44D,Q44E,Q44F,Q44G1,Q44G2,Q45,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54A,Q54B,Q55A,Q55B,Q55C,Q55D,Q55E,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q63A,Q63B,Q63C,Q63D,Q63E,Q63F,Q66A,Q66B,Q66C,Q66D1,Q66D2,Q66E,Q67,Q68A,Q68B,Q69,SEGMENT,Q57R,STR,NPERS3,GRAP,REGION,SEQUENCE,GRAPPE,CARTE,INTERV,TIME3,NPERS1,NPERS2,POSTAL,SEXEA,STATUT,TELPREN,TELREGN,TELSUFN,FILTER_$,NEURO2,ZONE,WTC
OUI-1,OUI-2,OUI-3,OUI-4,4-OUI,NCENTRE,,,,,,,,PQ,,,,FEMME,35-44,SEC,FRA,TPARTIEL,PROFESS,25000,418,,,,,,,,,,,,,,,,,,MIEUX,,,,,,,0.7573825112499111,Mieux,T-à-f désaccord,T-à-f accord,T-à-f accord,T-à-f accord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PQ,,Non,Oui,Non,Oui,Oui,Même parti,38.0,Secondaire,Francais,Temps partiel,Professionnel,20000-29999,,,,,,,,,,,,,,,,,Non-centristes,3.0,2553.33333333059,0.0,1.7293103448270082,Gaspésie-Îles-de-la-Madeleine,10059.0,1.0,0.0,10.0,010100181011,1.0,1.0,G0B1P0,F,52.0,969.0,418.0,4052.0,Selected,PQ,Est du Qc,Avant
NON-1,NON-2,NON-3,NON-4,0-OUI,NCENTRE,,,,,,,,ADQ,,,,FEMME,18-24,UNIV,FRA,ETUDES,,5000,418,,,,,,,,,,,,,,,,,,MIEUX,,,,,,,0.47257756383777877,Mieux,Plutôt accord,T-à-f désaccord,T-à-f désaccord,T-à-f désaccord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADQ,,Non,Non,Non,Non,Oui,Change parti,23.0,Universitaire,Francais,Études,,Moins de 10000$,,,,,,,,,,,,,,,,,Non-centristes,1.0,1593.1818181796982,2.0,1.7293103448270082,Chaudière-Appalaches,10002.0,1.0,0.0,311.0,  0220071011,2.0,0.0,G0N1G0,F,52.0,427.0,418.0,3844.0,Selected,PLQ,Centre du Qc,Avant
OUI-1,OUI-2,,OUI-4,,,,S05,AUTOC,CENTR,OUI-SA,NON-IND,PROV,ADQ,VNON,OO-SA,NN-IND,HOMME,45-54,SEC,FRA,TPARTIEL,MANOEUV,35000,418,REL-,PROVINCE,QUEBECOIS,IDENT--,,CC,MOND+,FRA-,COMP+,SPIR+,UTILE,CHOM=,,,,,POL--,EGAL,PESS+,NEG+,OTT+,INT+,11.0,11.0,0.6529022545071381,Aussi bien,Plutôt désaccord,T-à-f accord,,Plutôt accord,Télévision,Rarement,Assez souvent,Rarement,Jamais,Rarement,Rarement,Rarement,Assez souvent,Rarement,Rarement,Rarement,Rarement,Rarement,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Rarement,Rarement,Assez souvent,98.9 FM_____,Radio Énergie (FM),Oui,Assez,Peu,Peu,Peu,Assez,Peu,Peu,Peu,Jamais,Jamais,Rarement,Jamais,Jamais,Écouter opinion,Plutôt désaccord,Province,Québécois,,,,,,,,,,,,,,,,,Plutôt désaccord,Plutôt désaccord,Plutôt désaccord,Plutôt désaccord,Plutôt accord,Plutôt désaccord,Plutôt accord,Nsp,Plutôt accord,T-à-f désaccord,Plutôt désaccord,Plutôt accord,Plutôt accord,Plutôt accord,Plutôt accord,Plutôt désaccord,Plutôt accord,Plutôt désaccord,Plutôt accord,Plutôt accord,Plutôt accord,Assez bien,Peu important,Utile,Un peu,Restée la même,Restée la même,Va se détériorer,Va rester la même,Non,Oui,Non,Oui,Non,Oui,Non,Non,,,,,Peu différences,Peu différences,Peu différences,Peu différences,Peu différences,Peu différences,Peu différences,Peu différences,Peu différences,Les deux également,Les deux également,Les deux également,Québec,Québec,Les deux également,Ottawa,Ottawa,Québec,Ottawa,Ottawa,Défavorisés,Gouv. canadien,Plutôt désaccord,Plutôt désaccord,Plutôt accord,Plutôt désaccord,Bonne,Rembourser dette,Rembourser dette,Plutôt insatisfait,Plus riches,Assez important,Assez important,Peu important,Peu important,Peu important,Assez important,Assez important,Assez important,Plus ou moins,,S05,Oui,,Non,Non,Province,Contre,ADQ,,Non,Non,Non,Non,Oui,Change parti,43.0,Secondaire,Francais,Temps partiel,Manoeuvre,30000-39999,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Rarement,Assez,Assez,,Centristes,4.0,1593.1818181796982,1.0,2.389175257732053,Chaudière-Appalaches,10004.0,1.0,0.0,240.0,  038203,2.0,1.0,G6C1S2,M,51.0,835.0,418.0,5769.0,Selected,PLQ,Centre du Qc,Avant
NON-1,OUI-2,OUI-3,NON-4,2-OUI,CENTRE,2-OUI,S08,AUTOS,SOUV,OUI-SA,OUI-IND,PAYS,PQ,VOUI,OO-SA,OO-IND,HOMME,45-54,CEGEP,FRA,TPLEIN,TECHNIC,35000,418,REL-,PEUPLE,QUEBECOIS,IDENT++,EST=,CD,MOND=,FRA+,COMP+,SPIR+,UTILE,CHOM-,PLQ-,PQ+,ADQ=,RAP=,POL=,PIRE,PESS=,POS+,QUE++,INT++,11.0,11.0,0.6529022545071381,Moins bien,Plutôt accord,Plutôt accord,Plutôt accord,Plutôt désaccord,Journaux,Assez souvent,Assez souvent,Rarement,Rarement,Assez souvent,Assez souvent,Rarement,Rarement,Rarement,Rarement,Assez souvent,Assez souvent,Rarement,Rarement,Jamais,Rarement,Jamais,Jamais,Jamais,Assez souvent,Jamais,Assez souvent,107.3_______,Radio Rock Détente (FM),Oui,Assez,Peu,Pas-du-tout,Beaucoup,Beaucoup,Assez,Assez,Assez,Rarement,Rarement,Assez souvent,Rarement,Jamais,Écouter opinion,Plutôt désaccord,Peuple,Québécois,,,,,,,,,,,,,,,,,T-à-f accord,Plutôt accord,T-à-f accord,Plutôt désaccord,T-à-f accord,Plutôt accord,T-à-f accord,Plutôt désaccord,T-à-f accord,T-à-f désaccord,Plutôt désaccord,Plutôt accord,T-à-f accord,T-à-f accord,Plutôt accord,Plutôt désaccord,Plutôt accord,Plutôt désaccord,Plutôt désaccord,Plutôt désaccord,T-à-f accord,Pas très bien,Très important,Utile,Aucun,Restée la même,Restée la même,Va rester la même,Va rester la même,Oui,Oui,Oui,Non,Non,Non,Oui,Non,Éloigné,Proche,Plus ou moins,Plus ou moins,Peu différences,Peu différences,Peu différences,P-d-t différences,P-d-t différences,P-d-t différences,Très grandes,Assez grandes,Peu différences,Québec,Québec,Québec,Québec,Québec,Québec,Québec,Québec,Québec,Ottawa,Ottawa,,Municipalité,Plutôt accord,Plutôt désaccord,Plutôt accord,T-à-f accord,Bonne,Baisser impots,Baisser impots,Plutôt satisfait,Personne,Assez important,Très important,Assez important,Peu important,Assez important,Assez important,Très important,Très important,T-à-f suffisant,Contester tribunaux,S08,Oui,,Oui,,Pays,Pour,PQ,,Non,Oui,Non,Oui,Oui,Même parti,42.0,Collégial,Francais,Temps plein,Technicien,30000-39999,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Quelques fois/an,Assez,Peu,,Centristes,4.0,1593.1818181796982,1.0,2.389175257732053,Chaudière-Appalaches,10008.0,1.0,0.0,250.0,  0383051011,2.0,1.0,G6Z1A3,M,51.0,839.0,418.0,2349.0,Selected,PQ,Centre du Qc,Avant
NON-1,OUI-2,OUI-3,OUI-4,3-OUI,CENTRE,3-OUI,S06,AUTOC,CENTR,OUI-SA,OUI-IND,PROV,PLQ,VOUI,OO-SA,OO-IND,FEMME,25-34,CEGEP,FRA,TPLEIN,TECHNIC,25000,418,REL+,PEUPLE,QUEBECOIS,IDENT++,EST+,CC,MOND+,FRA-,COMP--,SPIR+,UTILE,CHOM=,PLQ-,PQ-,ADQ-,RAP-,,EGAL,PESS=,NEG,QUE++,INT++,12.0,11.0,0.47257756383777877,Aussi bien,T-à-f accord,T-à-f accord,Plutôt accord,Plutôt accord,Télévision,Assez souvent,Assez souvent,Assez souvent,Très souvent,Assez souvent,Assez souvent,Très souvent,Rarement,Rarement,Rarement,Rarement,Rarement,Rarement,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Rarement,Jamais,Assez souvent,98.9 FM_____,Radio Énergie (FM),Non,Pas-du-tout,Assez,Beaucoup,Assez,Assez,Peu,Peu,Peu,Rarement,,Jamais,Jamais,Rarement,Écouter opinion,T-à-f accord,Peuple,Québécois,,,,,,,,,,,,,,,,,T-à-f accord,Plutôt accord,T-à-f accord,Plutôt désaccord,T-à-f accord,T-à-f accord,T-à-f accord,T-à-f désaccord,Plutôt accord,T-à-f désaccord,Plutôt accord,Plutôt accord,Plutôt accord,Plutôt accord,Plutôt accord,T-à-f désaccord,Plutôt accord,Plutôt désaccord,Plutôt accord,T-à-f accord,Plutôt désaccord,Assez bien,Assez important,Utile,Un peu,Restée la même,Restée la même,Va rester la même,Va rester la même,Non,Non,Non,Oui,Non,Non,Oui,Oui,Éloigné,Éloigné,Éloigné,Éloigné,P-d-t différences,P-d-t différences,P-d-t différences,P-d-t différences,P-d-t différences,P-d-t différences,P-d-t différences,P-d-t différences,P-d-t différences,Québec,Québec,Québec,Québec,Québec,Québec,Québec,Québec,Québec,Québec,Québec,Jeunes,Famille,Plutôt accord,Plutôt désaccord,Plutôt désaccord,Plutôt accord,Mauvaise,Programmes sociaux,Programmes sociaux,Plutôt satisfait,Personne,Assez important,Très important,Très important,Assez important,P-d-t important,Très important,Très important,Très important,T-à-f suffisant,Renoncer projet,S06,Oui,,Oui,,Province,Pour,PLQ,,Non,Non,Oui,Oui,Oui,Même parti,25.0,Collégial,Francais,Temps plein,Technicien,20000-29999,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Quelques fois/an,Assez,Beaucoup,,Centristes,2.0,1593.1818181796982,1.0,1.7293103448270082,Chaudière-Appalaches,10011.0,1.0,0.0,270.0,  005170,1.0,0.0,G0S3A0,F,51.0,464.0,418.0,4562.0,Selected,PQ,Centre du Qc,Avant
OUI-1,OUI-2,OUI-3,NON-4,3-OUI,CENTRE,3-OUI,S07,AUTOS,SOUV,OUI-SA,NON-IND,PAYS,PQ,VNON,OO-SA,NO-IND,HOMME,18-24,CEGEP,FRA,ETUDES,,5000,418,REL--,PEUPLE,QUEBECOIS,IDENT++,EST+,CG,MOND=,FRA+,COMP++,SPIR--,UTILE,CHOM+,PLQ-,PQ+,ADQ=,RAP-,,MIEUX,OPT++,POS+,QUE++,INT++,11.0,10.0,0.6529022545071381,Mieux,Plutôt désaccord,Plutôt accord,T-à-f accord,Plutôt désaccord,Télévision,Très souvent,Assez souvent,Rarement,Très souvent,Assez souvent,Assez souvent,Très souvent,Très souvent,Très souvent,Assez souvent,Rarement,Rarement,Assez souvent,Rarement,Rarement,Rarement,Assez souvent,Rarement,Assez souvent,Assez souvent,Rarement,Très souvent,98.9 FM_____,Radio Énergie (FM),Non,Beaucoup,Peu,Peu,Assez,Beaucoup,Beaucoup,Assez,Beaucoup,Assez souvent,,Assez souvent,Assez souvent,Assez souvent,Argumenter,T-à-f désaccord,Peuple,Québécois,,,,,,,,,,,,,,,,,T-à-f accord,T-à-f accord,T-à-f accord,Plutôt désaccord,T-à-f accord,T-à-f accord,T-à-f accord,Plutôt désaccord,Plutôt accord,T-à-f désaccord,T-à-f désaccord,T-à-f accord,T-à-f accord,Plutôt accord,Plutôt désaccord,T-à-f désaccord,Plutôt désaccord,Plutôt désaccord,Plutôt désaccord,Plutôt désaccord,Plutôt accord,Assez bien,Assez important,Utile,Beaucoup,Détériorée,Restée la même,Va s'améliorer,Va s'améliorer,Oui,Non,Oui,Oui,Oui,Non,Oui,Non,Éloigné,Proche,Plus ou moins,Éloigné,Assez grandes,Peu différences,Assez grandes,Assez grandes,Assez grandes,Assez grandes,Très grandes,Assez grandes,Peu différences,Québec,Québec,Québec,Ottawa,Québec,Québec,Les deux également,Québec,Québec,,,Jeunes,Gouv. québécois,T-à-f désaccord,Plutôt désaccord,Plutôt accord,Plutôt accord,Bonne,Programmes sociaux,Baisser impots,Plutôt satisfait,Classe moyenne,Assez important,Très important,Peu important,Peu important,Assez important,Très important,Très important,Très important,P-d-t suffisant,En appeler peuple,S07,Oui,,Non,Oui,Pays,Contre,PQ,,Non,Oui,Non,Oui,Oui,Même parti,19.0,Collégial,Francais,Études,,Moins de 10000$,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Jamais,Pas-du-tout,Peu,,Centristes,1.0,1593.1818181796982,1.0,2.389175257732053,Chaudière-Appalaches,10014.0,1.0,0.0,170.0,01007158,2.0,1.0,G0R3X0,M,51.0,356.0,418.0,5441.0,Selected,PQ,Centre du Qc,Avant
OUI-1,OUI-2,OUI-3,OUI-4,4-OUI,NCENTRE,,,,,,,,AUTQ,,,,FEMME,55-64,CEGEP,FRA,TPLEIN,EMPLOYE,,418,,,,,,,,,,,,,,,,,,PIRE,,,,,,,0.47257756383777877,Moins bien,Plutôt désaccord,T-à-f accord,T-à-f accord,T-à-f accord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Autre,,Non,Non,Non,Non,Non,Change parti,52.0,Collégial,Francais,Temps plein,Employé bureau,,,,,,,,,,,,,,,,,,Non-centristes,5.0,1593.1818181796982,2.0,1.7293103448270082,Chaudière-Appalaches,10015.0,1.0,0.0,250.0,010382521011,3.0,1.0,G0S2W0,F,52.0,889.0,418.0,9626.0,Selected,PQ,Centre du Qc,Avant
NON-1,OUI-2,OUI-3,NON-4,2-OUI,CENTRE,2-OUI,S08,AUTOS,SOUV,NON-SA,OUI-IND,PAYS,ADQ,VNOUI,NN-SA,OO-IND,FEMME,25-34,UNIV,FRA,TPLEIN,TECHNIC,25000,418,REL--,PEUPLE,QUEBECOIS,IDENT++,EST=,CC,MOND=,FRA+,COMP++,SPIR+,INUTILE,CHOM-,PLQ-,PQ=,ADQ=,RAP=,,PIRE,PESS=,POS,QUE++,INT++,11.0,9.0,0.47257756383777877,Moins bien,Plutôt accord,T-à-f accord,Plutôt accord,Plutôt désaccord,Télévision,Assez souvent,Assez souvent,Rarement,Assez souvent,Assez souvent,Assez souvent,Assez souvent,Jamais,Jamais,Rarement,Très souvent,Assez souvent,Rarement,Rarement,Rarement,Rarement,Jamais,Rarement,Assez souvent,Jamais,Jamais,Jamais,____________,,Oui,Pas-du-tout,Assez,Assez,Assez,Assez,Assez,Beaucoup,Peu,Assez souvent,,Rarement,Assez souvent,Assez souvent,Écouter opinion,T-à-f désaccord,Peuple,Québécois,,,,,,,,,,,,,,,,,T-à-f accord,Plutôt accord,T-à-f accord,T-à-f désaccord,T-à-f accord,Plutôt accord,T-à-f accord,Plutôt désaccord,Plutôt accord,T-à-f désaccord,Plutôt désaccord,T-à-f accord,T-à-f accord,T-à-f accord,Plutôt accord,Plutôt désaccord,Plutôt désaccord,Plutôt désaccord,Plutôt désaccord,Plutôt désaccord,T-à-f accord,T-à-f mal,Très important,Ne sert a rien,Aucun,Restée la même,Restée la même,Va rester la même,Va rester la même,Oui,Oui,Oui,Non,Non,Oui,Oui,Oui,Éloigné,Plus ou moins,Plus ou moins,Plus ou moins,Peu différences,Assez grandes,Peu différences,Peu différences,Peu différences,Peu différences,Très grandes,Très grandes,Peu différences,Québec,Québec,Québec,Québec,Québec,Les deux également,Québec,Les deux également,Québec,,,,Municipalité,T-à-f accord,T-à-f désaccord,T-à-f désaccord,T-à-f accord,Très mauvaise,Programmes sociaux,Programmes sociaux,Plutôt insatisfait,Plus riches,Peu important,Très important,Assez important,Peu important,Assez important,Assez important,Très important,Très important,P-d-t suffisant,En appeler peuple,S08,Non,Non,Oui,,Pays,Egalite,ADQ,,Non,Oui,Non,Oui,Oui,Change parti,31.0,Universitaire,Francais,Temps plein,Technicien,20000-29999,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,Jamais,Pas-du-tout,Peu,,Centristes,2.0,1593.1818181796982,1.0,1.7293103448270082,Chaudière-Appalaches,10016.0,1.0,0.0,250.0,  038305,2.0,1.0,G6Z1A3,F,51.0,839.0,418.0,1898.0,Selected,PQ,Centre du Qc,Avant
NON-1,NON-2,NON-3,NON-4,0-OUI,NCENTRE,,,,,,,,PLQ,,,,FEMME,25-34,CEGEP,FRA,TPLEIN,OUVRIER,15000,418,,,,,,,,,,,,,,,,,,PIRE,,,,,,,0.47257756383777877,Moins bien,Plutôt accord,T-à-f désaccord,T-à-f désaccord,T-à-f désaccord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLQ,,Non,Oui,Non,Oui,Oui,Même parti,25.0,Collégial,Francais,Temps plein,Ouvrier spécialisé,"10000-19,999",,,,,,,,,,,,,,,,,Non-centristes,2.0,1593.1818181796982,1.0,1.7293103448270082,Chaudière-Appalaches,10019.0,1.0,0.0,310.0,  0220701011,1.0,0.0,G6G1A3,F,52.0,338.0,418.0,6656.0,Selected,PLQ,Centre du Qc,Avant
NON-1,OUI-2,NON-3,NON-4,1-OUI,CENTRE,1-OUI,,,,NON-SA,NON-IND,PROV,PLQ,VNON,NN-SA,NN-IND,FEMME,45-54,CEGEP,FRA,TPLEIN,PROFESS,45000,418,REL+,PROVINCE,CANADIEN,IDENT++,EST=,CG,MOND=,FRA+,COMP-,SPIR-,UTILE,CHOM=,PLQ=,PQ=,ADQ-,RAP-,POL=,EGAL,PESS=,NEG+,QUE+,INT+,11.0,9.0,0.47257756383777877,Aussi bien,T-à-f accord,Plutôt accord,Plutôt désaccord,Plutôt désaccord,Télévision,Assez souvent,Très souvent,Assez souvent,Très souvent,Assez souvent,Assez souvent,Assez souvent,Assez souvent,Rarement,Rarement,Rarement,Rarement,Rarement,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Assez souvent,Rarement,Assez souvent,97.3 FM_____,Autres FM,Oui,Pas-du-tout,Assez,Assez,Assez,Peu,Peu,Peu,Pas-du-tout,Rarement,Jamais,Rarement,Rarement,Rarement,Exprimer opinion,Plutôt accord,Province,Canadien,T-à-f accord,Plutôt accord,T-à-f accord,T-à-f désaccord,T-à-f accord,Plutôt accord,T-à-f accord,Plutôt désaccord,,,,,,,,,,,,,,,,,Plutôt accord,T-à-f désaccord,Plutôt désaccord,T-à-f accord,T-à-f accord,Plutôt désaccord,Plutôt accord,T-à-f désaccord,Plutôt désaccord,Plutôt accord,Plutôt accord,Plutôt accord,Plutôt accord,Pas très bien,Assez important,Utile,Un peu,Restée la même,Restée la même,Va rester la même,Va rester la même,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Plus ou moins,Plus ou moins,Éloigné,Éloigné,Peu différences,Peu différences,Peu différences,Peu différences,Peu différences,Peu différences,Peu différences,Peu différences,Peu différences,Les deux également,Québec,Les deux également,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Québec,Ottawa,Québec,Jeunes,Municipalité,T-à-f accord,Plutôt désaccord,T-à-f désaccord,T-à-f accord,Mauvaise,Programmes sociaux,Programmes sociaux,Plutôt insatisfait,Plus riches,Assez important,Très important,Peu important,Peu important,Assez important,Assez important,Assez important,Très important,P-d-t suffisant,Compensations,,Non,Non,Non,Non,Province,Contre,PLQ,,Non,Non,Non,Non,Non,Change parti,44.0,Collégial,Francais,Temps plein,Professionnel,"40000-49,999",Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Oui,Non,Quelques fois/an,Assez,Assez,,Centristes,4.0,1593.1818181796982,1.0,1.7293103448270082,Chaudière-Appalaches,10022.0,1.0,0.0,310.0,  056268,1.0,0.0,G0N1E0,F,51.0,423.0,418.0,2355.0,Selected,PQ,Centre du Qc,Avant
OUI-1,OUI-2,NON-3,OUI-4,3-OUI,CENTRE,3-OUI,S04,AUTOC,CENTR,NON-SA,NON-IND,PROV,PLQ,VNON,NN-SA,NN-IND,HOMME,25-34,SEC,FRA,TPLEIN,OUVRIER,,418,REL--,PROVINCE,QUEBECOIS,IDENT--,EST=,CC,MOND=,FRA--,COMP++,SPIR++,UTILE,CHOM=,PLQ=,PQ=,ADQ-,RAP-,POL=,EGAL,OPT+,NEG,OTT++,INT+,11.0,10.0,0.6529022545071381,Aussi bien,T-à-f désaccord,Plutôt accord,Plutôt désaccord,Plutôt accord,Télévision,Assez souvent,Assez souvent,Rarement,Jamais,Assez souvent,Assez souvent,Rarement,Rarement,Rarement,Rarement,Rarement,Rarement,Rarement,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Assez souvent,Assez souvent,CHIC FM_____,Radio Énergie (FM),Oui,Peu,Assez,Peu,Assez,Assez,Peu,Peu,Peu,Rarement,Jamais,Assez souvent,Rarement,Jamais,Finir conversation,T-à-f désaccord,Province,Québécois,,,,,,,,,,,,,,,,,T-à-f accord,Plutôt accord,Plutôt désaccord,T-à-f désaccord,Plutôt accord,Plutôt accord,T-à-f accord,Plutôt désaccord,Plutôt accord,Plutôt accord,T-à-f accord,Plutôt accord,Plutôt accord,Plutôt accord,Plutôt accord,T-à-f désaccord,Plutôt accord,Plutôt accord,Plutôt accord,Plutôt accord,Plutôt désaccord,Pas très bien,Assez important,Utile,Un peu,Restée la même,Améliorée,Va rester la même,Va s'améliorer,Non,Oui,Non,Oui,Non,Non,Oui,Non,Plus ou moins,Plus ou moins,Éloigné,Éloigné,Assez grandes,Peu différences,Assez grandes,Peu différences,Assez grandes,Peu différences,Assez grandes,Peu différences,Assez grandes,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Québec,Québec,Défavorisés,Gouv. canadien,Plutôt accord,Plutôt accord,T-à-f accord,Plutôt désaccord,Bonne,Rembourser dette,Rembourser dette,Plutôt insatisfait,Plus riches,Assez important,Très important,Assez important,P-d-t important,Peu important,Assez important,Assez important,Assez important,T-à-f suffisant,Renoncer projet,S04,Non,Non,Non,Non,Province,Contre,PLQ,,Non,Non,Non,Oui,Oui,Même parti,31.0,Secondaire,Francais,Temps plein,Ouvrier spécialisé,,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Jamais,Assez,Peu,,Centristes,2.0,1593.1818181796982,1.0,2.389175257732053,Chaudière-Appalaches,10024.0,1.0,0.0,270.0,01005219,2.0,1.0,G0S2V0,M,51.0,397.0,418.0,4640.0,Selected,PQ,Centre du Qc,Avant
